# FractureId; NumTraces
0; 7
# TraceId; Tips; Length
413; 0; 8.2743771165772684e-01
411; 0; 7.8709745664365127e-01
124; 0; 7.3599990753973865e-01
151; 0; 7.1535205763484022e-01
272; 0; 6.4869576984735744e-01
53; 0; 6.3045861598887976e-01
408; 0; 3.1484993985536430e-01
23; 0; 1.4004828748305026e-01
405; 0; 4.2640788759964209e-02
239; 1; 1.4946028386702261e+00
415; 1; 1.3376069172495557e+00
352; 1; 1.3300331137214059e+00
410; 1; 8.6371444172994061e-01
171; 1; 7.6690482068332644e-01
385; 1; 7.1993853745243352e-01
223; 1; 6.7825564302855668e-01
80; 1; 6.3069832728828168e-01
321; 1; 6.1747279010479728e-01
407; 1; 6.1348471200489718e-01
409; 1; 5.3708322507412720e-01
338; 1; 4.9703175961981039e-01
193; 1; 4.5521825605442684e-01
294; 1; 3.5349957052471909e-01
256; 1; 3.1319653400015235e-01
404; 1; 2.8605697120784523e-01
412; 1; 2.8413320620788474e-01
210; 1; 1.5758016341451658e-01
98; 1; 1.0041749859015381e-01
414; 1; 9.2286857992465485e-02
406; 1; 8.2193698631917958e-02
# FractureId; NumTraces
30; 13
# TraceId; Tips; Length
99; 0; 7.6128311330849008e-01
416; 0; 7.0531627014905451e-01
417; 1; 6.6352905733044432e-01
419; 1; 5.6417288082499284e-01
281; 1; 5.1449486644396125e-01
306; 1; 4.0979010525824011e-01
418; 1; 3.5868581597421839e-01
379; 1; 3.5849312813247464e-01
54; 1; 3.0678991271705097e-01
421; 1; 2.9355110543836499e-01
24; 1; 2.1802353766625018e-01
420; 1; 1.1225651454970188e-01
172; 1; 8.7965946751515575e-03
# FractureId; NumTraces
31; 7
# TraceId; Tips; Length
422; 0; 5.9193615012584921e-01
194; 0; 5.0627045363944079e-01
353; 0; 2.0962264456551669e-01
339; 1; 8.6375666718228183e-01
139; 1; 3.5094448774549092e-01
111; 1; 3.7749700950232917e-02
125; 1; 9.4905881960352448e-03
# FractureId; NumTraces
32; 16
# TraceId; Tips; Length
81; 0; 8.7741980933355057e-01
424; 0; 3.2332056345445548e-01
427; 0; 2.0484732564070951e-01
